くじら屋らじっく,軽自動車,"", , くじら料理全般, 500~1000,                                                                                    東京都、埼玉県、山梨県 /                                                                                他応相談可                                    ,        https://www.a-rajic.com/        ,                                                                                    東京都あきる野市                                                                            ,板花　貴豊
1009Kitchen,軽自動車,"", , ハンバーガー, 700円〜,                                                                                    埼玉県 /                                                                                他応相談可                                    ,                ,                                                                                    埼玉県さいたま市                                                                            ,関根隼也
10points surf&foodtruck,軽自動車,軽自動車, サイドテーブル, アヒポキ、ジャークチキン、キーマカレー、ビーフチーズサンド、エッグチーズサンド、ドリンク, 300〜1500,                                                                                    東京都、千葉 /                                                                                他応相談可                                    ,                ,                                                                                    千葉県長生群                                                                            ,板庇雄馬
1126,軽自動車,"", , 豚丼、海老丼、豚やきそば、海老やきそば、MIX類、ハーフ&ハーフ, 800,                                                                                    東京都/千葉県/埼玉県/横浜市 /                                                                                他応相談可                                    ,                ,                                                                                    東京都目黒区                                                                            ,""
123DISH,普通車トラック,GMC P20 ステップバン, 発電機　, チキンオーバーライス(オリジナル)　　ホットサンド, 650円〜,                                                                                    愛知　三重 /                                                                                他応相談可                                    ,        //ifme.co.jp        ,                                                                                    愛知県名古屋市港区                                                                            ,井藤文彦
1988,軽自動車,サンバー　長さ339cm 幅147cm 高さ250cm, 発電機、コールドテーブル、シンク, BBQライス（チキン・タコ・カルビ・リブロースetc）, 700円〜1400円,                                                                                    大阪市・豊中市 /                                                                                他応相談可                                    ,        https://www.instagram.com/1988.goodfamily/        ,                                                                                    大阪府大阪市中央区西心斎橋                                                                            ,徳廣裕紀
食堂ニッシッシ,普通車トラック,長さ478 幅 178  高さ 262, 鉄板(グリドル)、 フライヤー、冷蔵庫、冷凍庫、シンク、発電機, ポークたまごおにぎり, 400円〜,                                                                                    福岡県 /                                                                                他応相談可                                    ,        https://www.instagram.com/foodtruck_244/?hl=ja        ,                                                                                    福岡県福岡市                                                                            ,西口
3-2CAFE,軽自動車,スズキキャリイ, 発電機, 十勝豚丼 自家焙煎コーヒー ホットワイン タピオカ  かき氷, 350〜750円,                                                                                    東京都/さいたま市/埼玉一円 /                                                                                他応相談可                                    ,                ,                                                                                    埼玉県入間郡三芳町竹間沢                                                                            ,加藤一広
39Café,普通車トラック,マツダ タイタン/日産 バネット/スズキ エブリイ, 発電機/オーニング/外部カウンター, クレープ･ドリンク･ワッフル･かき氷等, 300円～1000円,                                                                                    兵庫県全域（神戸市･明石市･姫路市･西宮市･尼崎市も含む）大阪府吹田市 /                                                                                他応相談可                                    ,        https://www.instagram.com/39cafe_saki/?hl=ja        ,                                                                                    兵庫県西脇市黒田庄町                                                                            ,森口
39takoyaki,軽自動車,スズキ　エブリィ, , たこ焼き　レモネード, 400〜1000,                                                                                    堺市、大阪府内一円(政令指定都市、中核市を除く) /                                                                                他応相談可                                    ,                ,                                                                                    大阪府和泉市                                                                            ,梨紗
3Rマジック,普通車トラック,２ｍ×5m, 発電機, カレー　からあげ　フライドポテト, 500〜900円,                                                                                    大阪府　奈良県一円　京都府一円 /                                                                                他応相談可                                    ,                ,                                                                                    大阪府大阪市                                                                            ,西川昌典
55DOG,軽自動車,幅147㎝　長さ339㎝, 発電機/夜間照明/電飾看板, ホットドッグ、コーヒー, 500〜900,                                                                                    福岡県 /                                                                                他応相談可                                    ,        https://www.instagram.com/invites/contact/?i=oeroorcqxg3v&utm_content=lornzcf        ,                                                                                    福岡県糟屋郡須惠町須恵                                                                            ,10時〜18時
56kitchen,軽自動車,"", , クレープ、オーガニックソーダ、フレーバーティー, ¥600〜¥900,                                                                                    大阪府茨木市、大阪府吹田市 /                                                                                他応相談可                                    ,        https://www.instagram.com/56kitchen_creperie/        ,                                                                                    大阪府茨木市                                                                            ,濱　静夏
66Kitchen's,普通車トラック,アーバンサポーター　長さ4640cm 幅1780cm, 発電機　ワッフルメーカー　電子レンジ　, クロッフル　クリームソーダ　コーヒー, 300〜600,                                                                                    愛知県 /                                                                                他応相談可                                    ,                ,                                                                                    愛知県豊田市                                                                            ,高木　繁
697KITCHEN,普通車トラック,"", クレープ焼き器、発電機, クレープ, 300～700円,                                                                                    岡山県一円 /                                                                                他応相談可                                    ,                ,                                                                                    岡山県倉敷市                                                                            ,和田莞太朗
70Kitchen,軽自動車,スズキキャリー, 発電機, オリジナルスパイスカレー・チャイ, 400～700,                                                                                    沖縄県 /                                                                                他応相談可                                    ,        https://70kitchen-s.jimdofree.com        ,                                                                                    沖縄県中頭郡読谷村                                                                            ,宮城
810BASE,普通車トラック,いすゞエルフ, 発電機, つぼ焼き芋、焼き栗、鶏めし、シェーク、サツマイモチップス、つぼ芋サンド、干し芋, 150円〜700円,                                                                                    千葉県 /                                                                                他応相談可                                    ,                ,                                                                                    千葉県東金市                                                                            ,中山　まゆこ
81 LABO,軽自動車,"", 発電機/バッテリー, ベビーカステラ、フルーツキャンディ、ドリンク, 300円〜1200円,                                                                                    埼玉県　東京都 /                                                                                他応相談可                                    ,                ,                                                                                    埼玉県熊谷市                                                                            ,24時間
